OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051PP,2024-10-06T02:59:08.179008,14.3556462000,0.0061734000,86.2942000000,220.6814000000,83.8911000000,336.1980000000,0,U,35299,999,80224,0.0056738000,0.0001674100,0E-10
IRIDIUM 33 DEB,1997-051QA,2024-10-06T02:04:11.467776,14.4609887100,0.0016887000,86.3631000000,211.8868000000,102.3111000000,257.9983000000,0,U,35480,999,81070,0.0041359000,0.0001482300,0E-10
IRIDIUM 33 DEB,1997-051QE,2024-10-04T12:03:07.958880,14.7116865800,0.0027423000,86.3766000000,191.3355000000,223.6692000000,136.2355000000,0,U,35484,999,81516,0.0088903000,0.0005546200,0E-10
IRIDIUM 33 DEB,1997-051QJ,2024-10-06T01:15:57.521376,14.7049906800,0.0034305000,86.3309000000,138.4494000000,108.6774000000,251.8171000000,0,U,35488,999,81885,0.0055828000,0.0003431600,0E-10
IRIDIUM 33 DEB,1997-051QN,2024-10-04T01:03:07.877088,14.6665351200,0.0009821000,86.3666000000,181.8386000000,267.5758000000,92.4331000000,0,U,35616,999,81167,0.0081111000,0.0004539500,0E-10
IRIDIUM 33 DEB,1997-051QQ,2024-10-05T11:46:01.309152,14.4924855300,0.0032121000,86.3465000000,182.4796000000,32.8833000000,327.4361000000,0,U,35618,999,59111,0.0027957000,0.0001075100,0E-10
IRIDIUM 33 DEB,1997-051QS,2024-10-05T14:09:17.146656,14.2227265800,0.0182020000,86.3902000000,38.0383000000,218.9079000000,139.8896000000,0,U,35620,999,78258,0.0285250000,0.0007574200,0E-10
IRIDIUM 33 DEB,1997-051QU,2024-10-05T13:24:46.706688,14.6827766900,0.0021234000,86.2100000000,110.0319000000,14.6894000000,41.2000000000,0,U,35622,999,81080,0.0115840000,0.0006763100,0E-10
IRIDIUM 33 DEB,1997-051RA,2024-10-06T02:54:47.713248,14.5767074000,0.0017182000,86.3655000000,200.5460000000,19.1544000000,341.0307000000,0,U,35628,999,80780,0.0080736000,0.0003707800,0E-10
IRIDIUM 33 DEB,1997-051RD,2024-10-05T02:12:07.054848,14.4538614200,0.0019882000,86.3731000000,207.3559000000,120.1166000000,300.2542000000,0,U,35631,999,80928,0.0018304000,0.0000647200,0E-10
IRIDIUM 33 DEB,1997-051RE,2024-10-05T02:02:04.750944,14.6598752900,0.0077386000,86.4110000000,322.4130000000,181.9706000000,178.1215000000,0,U,35632,999,79500,0.0349180000,0.0020548400,0E-10
IRIDIUM 33 DEB,1997-051RJ,2024-09-30T03:06:46.080864,14.1224773600,0.0172161000,86.1076000000,214.3923000000,231.2942000000,193.5847000000,0,U,35680,999,78277,0.0078096000,0.0001655600,0E-10
IRIDIUM 33 DEB,1997-051RX,2024-10-05T10:14:09.404736,14.6203343200,0.0023249000,86.3367000000,159.8980000000,250.7033000000,109.1663000000,0,U,35744,999,80978,0.0048918000,0.0002471700,0E-10
IRIDIUM 33 DEB,1997-051SC,2024-09-24T04:56:04.284960,15.0393989700,0.0016975000,86.3730000000,185.0896000000,70.3811000000,289.9254000000,0,U,35749,999,79489,0.0106360000,0.0015001800,0E-10
IRIDIUM 33 DEB,1997-051SF,2024-10-05T23:32:41.632224,14.6743237400,0.0013857000,86.3470000000,166.4278000000,235.2105000000,124.7805000000,0,U,35797,999,81127,0.0067622000,0.0003850400,0E-10
IRIDIUM 33 DEB,1997-051SP,2024-10-06T04:12:47.928672,14.9491578300,0.0054424000,86.3080000000,245.5459000000,115.3412000000,245.3468000000,0,U,35805,999,79331,0.0440820000,0.0052505900,0E-10
IRIDIUM 33 DEB,1997-051SQ,2024-10-03T02:15:04.786560,14.4982981200,0.0018875000,86.3508000000,211.3485000000,90.0660000000,270.2708000000,0,U,35806,999,79993,0.0077989000,0.0003028200,0E-10
IRIDIUM 33 DEB,1997-051ST,2024-10-01T23:12:08.114976,14.6272874100,0.0016210000,86.3383000000,172.2774000000,330.4245000000,29.6048000000,0,U,35809,999,80391,0.0047353000,0.0002424700,0E-10
IRIDIUM 33 DEB,1997-051SW,2024-10-04T15:03:29.446560,14.4004545900,0.0019048000,86.3742000000,243.5416000000,159.9721000000,200.2230000000,0,U,35846,999,65073,0.0035702000,0.0001130300,0E-10
IRIDIUM 33 DEB,1997-051SY,2024-10-06T02:28:23.978784,14.6477721900,0.0007020000,86.4005000000,208.5904000000,292.8048000000,67.2423000000,0,U,35848,999,79907,0.0083167000,0.0004461500,0E-10
IRIDIUM 33 DEB,1997-051TA,2024-10-03T11:19:23.347200,14.6511872700,0.0010763000,86.3604000000,180.1679000000,287.2944000000,72.7091000000,0,U,35850,999,81030,0.0054194000,0.0002924900,0E-10
IRIDIUM 33 DEB,1997-051TU,2024-10-05T11:44:04.941312,14.6075783400,0.0065032000,86.2254000000,184.1720000000,98.5521000000,262.3066000000,0,U,35911,999,80641,0.0173590000,0.0008826500,0E-10
IRIDIUM 33 DEB,1997-051TY,2024-10-05T11:11:29.726592,14.6568154400,0.0013038000,86.3546000000,178.6246000000,279.3564000000,80.6175000000,0,U,35915,999,1704,0.0066112000,0.0003617800,0E-10
IRIDIUM 33 DEB,1997-051UB,2024-10-05T06:10:25.180032,14.4510232600,0.0028314000,86.3996000000,260.9165000000,172.6024000000,250.2456000000,0,U,35918,999,78931,0.0056721000,0.0001998500,0E-10
IRIDIUM 33 DEB,1997-051UE,2024-10-05T21:03:50.363136,14.9290971000,0.0049246000,86.4104000000,330.1429000000,261.2211000000,98.3438000000,0,U,35921,999,59070,0.0352880000,0.0039469400,0E-10
IRIDIUM 33 DEB,1997-051UN,2024-10-02T23:03:43.178688,14.7586428900,0.0022312000,86.3494000000,154.6853000000,126.7145000000,233.6128000000,0,U,35929,999,81362,0.0074966000,0.0005200100,0E-10
IRIDIUM 33 DEB,1997-051US,2024-10-03T15:03:06.280128,14.3881522200,0.0016168000,86.3437000000,221.8481000000,206.3609000000,274.9484000000,0,U,36011,999,79185,0.0028969000,0.0000894100,0E-10
IRIDIUM 33 DEB,1997-051UT,2024-10-06T00:07:45.006528,14.0764262000,0.0245930000,86.4477000000,120.1594000000,186.0230000000,173.7984000000,0,U,36012,999,77520,0.0183280000,0.0004101700,0E-10
IRIDIUM 33 DEB,1997-051VA,2024-10-05T12:33:30.799296,15.0877161600,0.0013811000,86.3802000000,183.9118000000,96.1792000000,78.9985000000,0,U,36019,999,80147,0.0159340000,0.0025954000,0E-10
IRIDIUM 33 DEB,1997-051VK,2024-10-05T21:32:07.668672,14.7366950100,0.0025108000,86.3321000000,146.7376000000,135.0422000000,225.2835000000,0,U,36028,999,80701,0.0065728000,0.0004332200,0E-10
IRIDIUM 33 DEB,1997-051VM,2024-10-05T12:10:44.303808,14.4319600600,0.0018739000,86.3260000000,196.1964000000,150.8814000000,209.3435000000,0,U,36080,999,41157,0.0034997000,0.0001181600,0E-10
